id,sentence,queryId,false
DACT/wik_part0483/969839-56-3.xml,"( Als voorbeeld werd hierbij gewezen op de hypothecaire lening die reeds geruime tijd zonder problemen wordt afbetaald , en derhalve tegen ( ongeveer ) de nominale waarde zou moeten kunnen worden opgenomen , doch die in een " distressed market " tegen een aanmerkelijk lagere koers zou moeten worden gewaardeerd . )",^q_2b_12345,1
DACT/wik_part0483/970128-5-1.xml,"In een legerorder , Nummer 112 L-LM uit 1952 , werd vastgelegd welke batons de militairen die met deze medaille werden onderscheiden zouden mogen dragen .",^q_2b_12345,0
DACT/wik_part0535/1105654-4-2.xml,"Het verslag in een document in de collecties van de Library of Congress toont dat in 1538 Karel V akkoord ging met het vonnis tegen de Spaanse beheerders en besliste dat twee derde van alle zaken die van de bewoners waren afgenomen teruggegeven moesten worden .",^q_2b_12345,0
DACT/wik_part0628/1402780-4-6.xml,"Eenmaal beweerde hij dat een fossiel wat de naam " Adapis " had gekregen zou zijn gevonden in Zwitserland , terwijl het in werkelijkheid uit Frankrijk kwam .",^q_2b_12345,0
DACT/wik_part0628/1403496-4-3.xml,"Minister Jógvan á Lakjuni besloot in 2004 echter , dat de beide zenders vanwege kostenbesparingen en om effectiever te kunnen werken zouden worden samengevoegd in een nieuwe publieke omroep , Kringvarp Føroya .",^q_2b_12345,0
DACT/wik_part0682/1605296-9-1.xml,"De gemeenterechten hielden onder meer in dat buitenstaanders die de gronden wilden gebruiken konden worden geweerd en eventueel bestraft .",^q_2b_12345,0
DACT/wik_part0687/1623942-21-2.xml,"Het dier was evident een tweevoeter , die zich met zijn enorme benen snel lopend zou moeten hebben kunnen voortbewegen , zij het dat de vlieghuid dit wellicht wat had belemmerd .",^q_2b_12345,1
DACT/wik_part0731/1770058-11-5.xml,"Op Chili werden schelpen landinwaarts gevonden waaruit Darwin zou hebben moeten kunnen concluderen dat dit vroeger een zeebodem was en nu omhoog geduwd door snelle geologische processen ( in plaats van door langzame veranderingen ) .",^q_2b_12345,1
DACT/wik_part0732/1775440-7-2.xml,"OP 13 november werd door de RMCP aangekondigd " dat de namen van alle personen en categorieën die als ' Vijand van het volk ' worden aangemerkt zullen worden gepubliceerd in alle kranten en de lijsten met de namen van deze vijanden van het volk zullen op alle openbare plaatsen worden opgehangen " .",^q_2b_12345,0
DACT/wik_part0735/1785227-6-4.xml,"Geen van de 81 inzendingen kon echter door middel van sterkteberekeningen aantonen dat de brug de belasting die het treinverkeer op de brug zou uitoefenen zou kunnen weerstaan .",^q_2b_12345,0
DACT/wik_part0746/1821558-4-4.xml,"Hij berekende dat als deze trend van afsterven van talen zich door zou zetten , in 2100 meer dan 90% van de talen die tegenwoordig wordt gesproken uitgestorven zullen zijn .",^q_2b_12345,0
DACT/wik_part0804/2030404-3-7.xml,"Het document bepaalt dat degenen die van deze misdaden worden verdacht moeten worden berecht door diocesane rechtbanken , onder verantwoordelijkheid van het Heilig Officie .",^q_2b_12345,0
